ID_Client,Age,Genre_Prefere,Montant_Depense,Nb_Films_Vus,Temps_Visionnage_Minutes,Note_Moyenne,Frequence_Connexion_Jours,Niveau_Engagement,Type_Abonnement,Aime_Film
C0324,40.0,Comédie,30.71,23,2776,2.9,11.6,Moyen,Standard,Non
C0325,67.0,Comédie,44.55,15,1362,2.2,7.0,Moyen,Premium,Non
C0326,59.0,Drame,44.72,14,1514,3.7,1.6,Moyen,Premium,Oui
C0327,59.0,Romance,45.95,17,2459,1.6,2.3,Moyen,Gratuit,Non
C0328,24.0,Science-Fiction,30.03,13,1813,3.4,6.3,Moyen,Gratuit,Oui
C0329,59.0,Science-Fiction,24.61,14,1467,1.7,5.4,Moyen,Premium,Oui
C0330,52.0,Science-Fiction,36.97,18,13682,3.0,4.5,Moyen,Premium,Oui
C0331,61.0,Drame,1.13,15,1287,3.2,1.4,Moyen,Standard,Oui
C0332,45.0,Romance,4.67,21,1869,4.2,4.2,Moyen,Gratuit,Oui
C0333,48.0,Comédie,36.32,8,837,3.3,1.7,Faible,Premium,Oui
C0334,63.0,,30.87,15,1211,4.6,3.8,Moyen,Standard,Oui
C0335,20.0,Comédie,12.13,22,2259,4.4,7.2,Moyen,Standard,Oui
C0336,54.0,Horreur,15.74,14,1448,4.7,1.0,Moyen,Premium,Oui
C0337,56.0,Science-Fiction,11.89,16,1518,4.8,2.4,Moyen,Premium,Oui
C0338,39.0,Science-Fiction,31.4,13,1161,4.4,1.1,Moyen,Premium,Oui
C0339,42.0,Horreur,29.67,14,1855,2.0,2.0,Moyen,Gratuit,Non
C0340,46.0,Comédie,24.87,23,2051,3.5,7.3,Moyen,Gratuit,Oui
C0341,28.0,Science-Fiction,48.78,22,2170,2.3,1.6,Moyen,Premium,Oui
C0342,45.0,Horreur,90.11,18,1443,2.8,4.4,Moyen,Gratuit,Oui
C0343,65.0,Science-Fiction,35.35,15,1911,1.7,4.3,Moyen,Gratuit,Oui
C0344,24.0,Action,58.53,16,2256,3.1,2.8,Moyen,Standard,Oui
C0345,39.0,Science-Fiction,63.8,18,2240,4.2,2.3,Moyen,Gratuit,Oui
C0346,57.0,Drame,37.66,15,1797,,2.5,Moyen,Standard,Non
C0347,24.0,Comédie,14.74,15,1330,1.7,4.0,Moyen,Standard,Oui
C0348,20.0,Drame,51.51,15,2003,4.3,2.5,Moyen,Premium,Oui
C0349,65.0,Comédie,26.18,10,1166,2.4,13.1,Moyen,Standard,Oui
C0350,75.0,Comédie,26.41,11,1626,3.3,5.2,Moyen,Premium,Oui
C0351,53.0,Drame,7.97,9,939,,1.5,Faible,Standard,Non
C0352,49.0,Action,21.22,20,1677,3.1,14.2,Moyen,Standard,Oui
C0353,63.0,Action,31.52,18,1872,1.9,1.1,Moyen,Gratuit,Non
C0354,30.0,Horreur,33.53,14,1447,3.7,1.1,Moyen,Standard,Oui
C0355,64.0,Action,100.86,17,1579,,5.4,Moyen,Premium,Oui
C0356,,Romance,42.94,15,1951,4.6,6.8,Moyen,Gratuit,Oui
C0357,23.0,Action,2.97,17,1444,4.3,6.6,Moyen,Standard,Non
C0358,15.0,Action,38.08,12,1142,1.7,4.3,Moyen,Gratuit,Non
C0359,50.0,Drame,20.31,17,1893,4.9,2.7,Moyen,Gratuit,Oui
C0360,73.0,Science-Fiction,22.84,10,918,3.1,15.6,Moyen,Standard,Oui
C0361,62.0,Science-Fiction,28.95,11,1031,2.1,13.9,Moyen,Premium,Oui
C0362,36.0,Science-Fiction,14.88,13,1850,4.4,24.9,Moyen,Gratuit,Oui
C0363,73.0,Comédie,56.41,15,1659,4.2,14.8,Moyen,Premium,Oui
C0364,23.0,Science-Fiction,19.43,22,2156,1.6,3.4,Moyen,Standard,Oui
C0365,30.0,Drame,15.13,22,3298,2.4,6.4,Moyen,Premium,Non
C0366,58.0,Horreur,39.32,11,1089,2.8,1.5,Moyen,Gratuit,Non
C0367,39.0,Science-Fiction,44.9,20,2276,,5.7,Moyen,Premium,Oui
C0368,44.0,Romance,14.89,21,2989,4.0,2.4,Moyen,Premium,Oui
C0369,66.0,,17.76,14,2060,4.5,3.6,Moyen,Premium,Oui
C0370,,,18.86,16,2084,4.1,2.3,Moyen,Premium,Oui
C0371,19.0,Horreur,7.24,18,1697,2.8,28.2,Moyen,Standard,Oui
C0372,63.0,Comédie,21.26,17,1912,4.7,3.0,Moyen,Premium,Oui
C0373,36.0,Comédie,9.55,23,1885,2.8,6.0,Moyen,Standard,Oui
C0374,26.0,Drame,29.1,28,2436,1.6,3.6,Moyen,Gratuit,Non
C0375,72.0,Drame,28.34,18,2697,2.9,20.6,Moyen,Standard,Oui
C0376,,Romance,52.99,15,2010,4.6,12.9,Moyen,Gratuit,Non
C0377,26.0,Romance,22.75,7,842,1.6,17.1,Faible,Gratuit,Non
C0378,,Drame,57.4,22,2787,4.2,2.2,Moyen,Gratuit,Oui
C0379,19.0,Science-Fiction,39.7,17,11194,4.8,2.2,Moyen,Standard,Oui
C0380,34.0,Comédie,18.76,9,730,4.9,12.7,Faible,Standard,Oui
C0381,30.0,Comédie,40.54,15,1996,3.3,9.4,Moyen,Premium,Oui
C0382,28.0,Romance,67.35,16,2211,2.7,4.4,Moyen,Standard,Oui
C0383,51.0,Action,15.31,14,1653,2.7,4.0,Moyen,Premium,Oui
C0384,55.0,Drame,21.62,18,2417,3.5,2.1,Moyen,Standard,Oui
C0385,28.0,Romance,9.7,13,1152,3.5,7.6,Moyen,Gratuit,Oui
C0386,51.0,Science-Fiction,26.2,19,1666,4.4,11.0,Moyen,Standard,Oui
C0387,29.0,Horreur,28.43,17,1493,3.4,4.2,Moyen,Premium,Oui
C0388,32.0,Comédie,903.63,18,2076,2.2,7.8,Moyen,Premium,Oui
C0389,66.0,Comédie,40.2,8,957,2.6,4.1,Faible,Gratuit,Non
C0390,20.0,Drame,4.79,16,1716,1.6,3.2,Moyen,Gratuit,Oui
C0391,70.0,Comédie,58.01,18,1557,3.6,1.0,Moyen,Premium,Oui
C0392,66.0,Science-Fiction,67.87,10,1196,,8.6,Moyen,Gratuit,Non
C0393,53.0,Romance,19.01,9,1030,,4.5,Faible,Gratuit,Non
C0394,74.0,Drame,12.02,19,1745,1.5,1.5,Moyen,Standard,Non
C0395,41.0,,53.12,17,1616,4.5,1.9,Moyen,Premium,Oui
C0396,68.0,Drame,8.76,9,1131,2.8,10.3,Faible,Gratuit,Non
C0397,41.0,Science-Fiction,78.66,21,2344,2.9,16.2,Moyen,Gratuit,Non
C0398,74.0,Romance,67.79,16,1776,2.8,4.7,Moyen,Premium,Oui
C0399,66.0,Horreur,18.53,19,1558,3.3,4.9,Moyen,Gratuit,Oui
C0400,63.0,Drame,42.08,13,1212,2.5,2.4,Moyen,Standard,Oui
C0401,18.0,Romance,103.79,12,1611,3.1,16.5,Moyen,Premium,Oui
C0402,39.0,Action,9.07,17,2449,2.2,5.7,Moyen,Standard,Oui
C0403,59.0,Comédie,55.81,16,1794,3.5,7.8,Moyen,Gratuit,Oui
C0404,31.0,Action,3.34,21,1767,2.7,2.9,Moyen,Standard,Non
C0405,,Science-Fiction,32.77,14,1840,2.4,11.9,Moyen,Gratuit,Oui
C0406,71.0,Comédie,32.37,19,1620,3.8,3.4,Moyen,Premium,Oui
C0407,36.0,,89.07,17,1936,,5.0,Moyen,Premium,Non
C0408,37.0,Romance,22.02,13,1283,1.7,4.9,Moyen,Gratuit,Non
C0409,37.0,Drame,30.75,16,1422,3.2,5.9,Moyen,Gratuit,Oui
C0410,32.0,Drame,56.65,15,1337,1.6,2.3,Moyen,Premium,Oui
C0411,72.0,Action,91.47,16,2094,2.0,2.3,Moyen,Gratuit,Non
C0412,27.0,Horreur,1335.24,14,2003,1.5,1.4,Moyen,Gratuit,Non
C0413,53.0,Science-Fiction,32.33,17,1886,3.3,5.4,Moyen,Gratuit,Non
C0414,41.0,Romance,17.21,17,2189,2.9,3.7,Moyen,Standard,Oui
C0415,50.0,Romance,11.87,13,1842,4.1,1.5,Moyen,Standard,Oui
C0416,47.0,Horreur,4.77,13,1877,3.4,5.5,Moyen,Gratuit,Non
C0417,24.0,Science-Fiction,23.45,14,1362,,1.5,Moyen,Standard,Non
C0418,40.0,Romance,12.59,20,2579,2.0,6.5,Moyen,Standard,Oui
C0419,45.0,Action,12.28,18,1771,2.2,12.1,Moyen,Standard,Oui
C0420,55.0,Science-Fiction,55.34,14,1680,2.7,7.9,Moyen,Premium,Oui
C0421,36.0,Action,70.23,8,994,3.4,4.7,Faible,Standard,Oui
C0422,57.0,Action,872.66,14,1894,3.9,9.1,Moyen,Standard,Oui
C0423,70.0,Comédie,21.09,19,2130,4.8,4.9,Moyen,Standard,Oui
C0424,55.0,Comédie,27.12,15,2010,4.4,3.8,Moyen,Standard,Oui
C0425,75.0,Comédie,69.81,14,2044,,2.4,Moyen,Premium,Oui
C0426,42.0,Horreur,29.09,10,921,2.1,2.0,Moyen,Premium,Oui
C0427,47.0,Romance,66.11,16,1964,2.5,4.6,Moyen,Premium,Oui
C0428,65.0,Comédie,812.71,17,2017,2.5,3.6,Moyen,Premium,Non
C0429,47.0,Horreur,12.16,11,1363,3.4,8.8,Moyen,Premium,Non
C0430,27.0,Horreur,61.1,18,1508,4.8,5.6,Moyen,Premium,Oui
C0431,24.0,Romance,34.07,26,2785,4.8,3.3,Moyen,Gratuit,Oui
C0432,57.0,Horreur,18.13,19,2633,3.3,3.6,Moyen,Premium,Oui
C0433,33.0,Action,34.91,14,1918,2.2,7.3,Moyen,Gratuit,Oui
C0434,27.0,Horreur,10.36,16,2068,,1.0,Moyen,Gratuit,Non
C0435,61.0,Romance,11.04,16,1814,4.1,4.3,Moyen,Gratuit,Oui
C0436,32.0,Horreur,36.17,8,1116,3.0,20.1,Faible,Gratuit,Oui
C0437,25.0,Science-Fiction,25.19,15,1420,3.7,1.2,Moyen,Standard,Oui
C0438,40.0,Horreur,19.8,15,1822,1.5,1.4,Moyen,Gratuit,Non
C0439,73.0,Comédie,31.45,10,1248,2.5,3.4,Moyen,Standard,Oui
C0440,26.0,Science-Fiction,23.81,16,1347,3.4,3.9,Moyen,Standard,Oui
C0441,71.0,Romance,67.28,14,1274,,15.7,Moyen,Gratuit,Non
C0442,28.0,Action,61.5,18,2309,2.7,10.0,Moyen,Gratuit,Non
C0443,23.0,Comédie,50.07,21,2203,3.4,9.5,Moyen,Premium,Oui
C0444,59.0,Science-Fiction,12.83,13,1445,2.4,4.0,Moyen,Standard,Oui
C0445,39.0,Action,25.01,15,12051,4.6,4.7,Moyen,Premium,Oui
C0446,64.0,Comédie,34.15,19,1565,2.0,2.0,Moyen,Gratuit,Oui
C0447,67.0,Action,54.51,21,12578,3.1,2.8,Moyen,Gratuit,Oui
C0448,36.0,Action,95.58,7,970,2.5,18.2,Faible,Gratuit,Non
C0449,68.0,Comédie,30.46,12,1093,2.6,3.0,Moyen,Gratuit,Non
C0450,59.0,Science-Fiction,16.89,9,1193,3.4,4.7,Faible,Premium,Oui
C0451,59.0,Action,37.58,11,1598,4.1,2.2,Moyen,Standard,Oui
C0452,47.0,Horreur,58.04,15,1966,3.7,7.0,Moyen,Standard,Oui
C0453,20.0,Comédie,20.87,21,1822,5.0,8.4,Moyen,Gratuit,Oui
C0454,58.0,Drame,5.64,17,1960,4.3,4.9,Moyen,Gratuit,Oui
C0455,64.0,Comédie,81.0,22,2435,3.0,15.4,Moyen,Premium,Oui
C0456,20.0,Science-Fiction,34.02,15,1467,3.4,5.2,Moyen,Gratuit,Oui
C0457,53.0,Action,26.9,11,1460,4.2,1.1,Moyen,Standard,Oui
C0458,44.0,Comédie,19.53,23,2248,4.9,13.9,Moyen,Premium,Oui
C0459,20.0,,4.56,12,1258,4.9,6.1,Moyen,Gratuit,Oui
C0460,44.0,Horreur,79.12,11,1268,2.5,15.8,Moyen,Premium,Oui
C0461,39.0,Action,32.18,18,1786,1.6,13.3,Moyen,Premium,Oui
C0462,64.0,Comédie,10.56,14,1158,3.0,15.9,Moyen,Gratuit,Oui
C0463,75.0,Drame,54.78,17,2481,2.7,2.3,Moyen,Gratuit,Oui
C0464,45.0,Science-Fiction,16.07,16,1789,4.0,15.1,Moyen,Gratuit,Oui
C0465,30.0,Action,41.55,15,1704,3.2,5.3,Moyen,Gratuit,Non
C0466,58.0,Romance,27.55,9,1090,3.0,2.0,Faible,Premium,Oui
C0467,25.0,Romance,20.17,16,1461,3.9,2.4,Moyen,Gratuit,Oui
C0468,68.0,Drame,6.1,28,3071,2.4,9.7,Moyen,Standard,Oui
C0469,75.0,Comédie,9.45,11,1445,,11.9,Moyen,Standard,Non
C0470,72.0,Science-Fiction,27.53,21,19118,3.1,8.0,Moyen,Premium,Oui
C0471,55.0,Horreur,36.55,18,1806,4.9,2.9,Moyen,Premium,Oui
C0472,73.0,Action,30.97,18,2470,,11.2,Moyen,Standard,Non
C0473,24.0,Action,3.83,15,1912,4.9,5.6,Moyen,Premium,Oui
C0474,75.0,Science-Fiction,18.77,12,1659,2.0,5.1,Moyen,Premium,Oui
C0475,40.0,Science-Fiction,50.15,16,2118,2.6,7.4,Moyen,Standard,Non
C0476,75.0,Action,33.14,15,2077,3.1,4.4,Moyen,Gratuit,Oui
C0477,51.0,Action,23.31,26,3794,1.9,5.3,Moyen,Standard,Non
C0478,51.0,Action,86.07,17,16308,2.5,3.5,Moyen,Gratuit,Non
C0479,74.0,Drame,87.7,15,1712,4.1,3.3,Moyen,Standard,Oui
C0480,58.0,Comédie,61.3,20,2628,2.1,8.7,Moyen,Gratuit,Non
C0481,53.0,Romance,6.9,20,16385,,14.0,Moyen,Premium,Oui
C0482,26.0,Drame,58.33,14,1230,1.6,4.7,Moyen,Premium,Non
C0483,53.0,Horreur,64.17,7,930,1.9,4.3,Faible,Standard,Non
C0484,,Drame,36.99,19,2154,1.6,5.9,Moyen,Premium,Oui
C0485,39.0,Horreur,24.81,17,1975,4.1,17.7,Moyen,Gratuit,Oui
C0486,21.0,Drame,60.62,19,2634,4.6,2.5,Moyen,Standard,Oui
C0487,65.0,Science-Fiction,20.87,17,1764,,4.3,Moyen,Gratuit,Oui
C0488,69.0,Romance,41.56,11,1372,,3.6,Moyen,Gratuit,Non
C0489,16.0,Drame,83.09,26,3671,3.3,7.5,Moyen,Standard,Oui
C0490,70.0,Drame,29.19,12,1516,3.9,1.7,Moyen,Standard,Oui
C0491,36.0,Comédie,46.75,15,1855,2.8,1.5,Moyen,Standard,Oui
C0492,15.0,Horreur,10.56,14,1627,1.6,11.6,Moyen,Gratuit,Non
C0493,33.0,Horreur,1081.42,17,2136,1.5,14.8,Moyen,Gratuit,Oui
C0494,30.0,Horreur,18.03,13,1091,3.0,2.3,Moyen,Standard,Oui
C0495,75.0,Comédie,25.2,19,2775,3.5,1.5,Moyen,Gratuit,Oui
C0496,52.0,Action,1.61,19,2640,4.5,1.2,Moyen,Premium,Oui
C0497,21.0,Drame,16.62,15,1406,,2.1,Moyen,Gratuit,Non
C0498,46.0,Comédie,134.44,15,1256,3.4,11.9,Moyen,Gratuit,Non
C0499,57.0,Horreur,108.54,16,1829,4.0,4.4,Moyen,Gratuit,Non
C0500,65.0,Horreur,31.12,20,2536,3.0,6.7,Moyen,Standard,Oui
