client_id,age,anciennete_mois,nb_achats,montant_total,panier_moyen,jours_depuis_dernier_achat,nb_pages_vues,taux_conversion,taux_retour
C0425,50.0,3,3,873.84,291.28,168,19,15.79,6.35
C0426,51.0,12,3,18501.86524331961,6167.28841443987,198,36,8.33,15.01
C0427,52.0,45,27,6084.63,225.36,17,166,16.27,2.8
C0428,18.0,13,2,869.31,434.65,101,11,18.18,14.38
C0429,35.0,36,26,5044.76,194.03,26,245,10.61,4.58
C0430,48.0,3,6,526.74,87.79,165,46,13.04,8.74
C0431,27.0,19,1,335.9,335.9,272,10,10.0,14.3
C0432,54.0,14,5,646.2,129.24,127,40,,7.89
C0433,41.0,22,13,1404.05,108.0,33,123,10.57,4.67
C0434,18.0,18,15,2174.36,144.96,67,106,14.15,4.96
C0435,66.0,28,1,403.28,403.28,214,13,7.69,23.43
C0436,44.0,29,21,6166.2,293.63,1,110,19.09,1.04
C0437,36.0,15,11,1248.26,113.48,65,97,11.34,3.22
C0438,40.0,29,18,7722.05,429.0,22,142,12.68,1.02
C0439,24.0,11,11,2972.33,270.21,34,101,10.89,9.6
C0440,,7,10,1996.66,199.67,44,62,16.13,7.66
C0441,18.0,20,14,3180.34,227.17,45,175,8.0,5.31
C0442,44.0,36,26,3932.85,151.26,11,161,16.15,1.62
C0443,30.0,37,34,7189.13,211.44,22,344,9.88,3.04
C0444,61.0,30,1,310.32,310.32,288,13,7.69,13.85
C0445,50.0,15,13,3249.58,249.97,51,190,6.84,7.65
C0446,32.0,11,10,2306.44,230.64,35,61,16.39,7.77
C0447,55.0,29,1,19426.548482604332,19426.548482604332,249,7,14.29,11.62
C0448,27.0,18,38,3070.4,80.8,19,467,8.14,3.53
C0449,19.0,22,13,1498.04,115.23,40,112,11.61,5.01
C0450,36.0,8,13,2955.04,227.31,72,173,7.51,4.87
C0451,40.0,15,8,2464.53,308.07,89,63,12.7,6.63
C0452,35.0,22,13,3135.34,241.18,81,174,7.47,8.83
C0453,58.0,17,38,4188.19,110.22,6,430,8.84,1.84
C0454,25.0,14,5,762.19,152.44,73,36,13.89,13.45
C0455,24.0,35,30,3089.37,102.98,14,182,16.48,0.23
C0456,49.0,35,17,6842.77,402.52,17,164,10.37,4.97
C0457,31.0,36,38,7487.18,197.03,3,275,13.82,1.12
C0458,37.0,8,17,1642.21,96.6,76,252,6.75,6.48
C0459,34.0,18,11,2805.18,255.02,43,70,15.71,4.52
C0460,36.0,15,1,100.04,100.04,231,6,16.67,14.46
C0461,29.0,17,15,3478.32,231.89,69,159,9.43,7.51
C0462,18.0,11,4,203.14,50.79,119,23,,9.88
C0463,54.0,18,12,2900.72,241.73,77,134,8.96,4.33
C0464,34.0,12,7,888.05,126.86,172,48,14.58,8.04
C0465,78.0,45,18,5699.21,316.62,19,99,18.18,2.98
C0466,66.0,19,39,4280.08,109.75,8,558,6.99,4.36
C0467,47.0,11,16,18197.208493398542,1137.325530837409,60,135,11.85,4.37
C0468,42.0,10,4,545.08,136.27,108,31,12.9,8.32
C0469,25.0,8,15,1067.94,71.2,41,118,12.71,9.01
C0470,30.0,8,17,3253.46,191.38,73,241,7.05,5.78
C0471,18.0,8,13,1684.48,129.58,63,180,7.22,4.38
C0472,30.0,22,31,7253.64,233.99,28,193,16.06,4.83
C0473,60.0,12,2,873.25,436.62,62,22,9.09,10.61
C0474,32.0,34,23,3932.19,170.96,3,299,7.69,4.13
C0475,30.0,20,9,1286.22,142.91,52,78,11.54,6.19
C0476,29.0,8,5,619.39,123.88,122,47,10.64,7.92
C0477,43.0,24,17,7102.13,417.77,8,118,14.41,4.53
C0478,35.0,9,5,683.18,136.64,142,30,16.67,11.58
C0479,53.0,20,14,1561.75,111.55,78,141,9.93,5.21
C0480,25.0,20,15,1088.93,72.6,39,127,11.81,8.16
C0481,54.0,40,18,7537.83,418.77,23,187,9.63,3.02
C0482,48.0,25,24,6856.23,285.68,26,138,17.39,0.34
C0483,25.0,23,9,1163.01,129.22,22,93,9.68,9.36
C0484,22.0,11,13,1222.81,94.06,51,172,7.56,3.89
C0485,49.0,10,5,16949.4276897016,3389.88553794032,105,35,14.29,11.59
C0486,50.0,16,6,782.93,130.49,108,86,6.98,10.42
C0487,50.0,12,4,973.57,243.39,170,23,17.39,11.62
C0488,48.0,13,2,725.76,362.88,118,27,7.41,10.98
C0489,18.0,12,4,360.52,90.13,253,34,11.76,20.88
C0490,57.0,22,34,6791.32,199.74,7,449,7.57,0.33
C0491,43.0,16,25,6976.34,279.05,14,331,7.55,4.0
C0492,42.0,14,7,892.36,127.48,170,87,8.05,11.37
C0493,53.0,21,3,243.35,81.12,195,22,13.64,14.44
C0494,46.0,4,7,735.94,105.13,115,96,,14.54
C0495,,32,38,5058.31,133.11,3,559,6.8,2.58
C0496,32.0,45,31,3307.59,106.7,13,338,9.17,2.4
C0497,63.0,9,10,1146.38,114.64,49,70,14.29,9.87
C0498,29.0,17,4,592.9,148.22,176,57,7.02,12.31
C0499,29.0,11,2,640.06,320.03,125,16,12.5,6.85
C0500,40.0,8,7,459.67,65.67,154,51,13.73,12.82
C0501,61.0,27,1,280.0,280.0,306,12,8.33,
C0502,42.0,6,5,756.78,151.36,90,41,12.2,10.73
C0503,43.0,30,4,173.99,43.5,356,43,9.3,22.92
C0504,38.0,6,3,271.03,90.34,167,29,10.34,6.68
C0505,32.0,20,23,24665.90770223317,1072.4307696623116,4,244,9.43,4.71
C0506,51.0,24,2,308.1,154.05,341,20,10.0,24.05
C0507,51.0,33,16,3469.91,216.87,23,132,12.12,3.36
C0508,46.0,25,2,475.26,237.63,208,11,18.18,14.92
C0509,47.0,28,20,5951.15,297.56,19,261,7.66,1.57
C0510,45.0,10,5,18115.122990139862,3623.0245980279724,104,25,20.0,11.58
C0511,40.0,19,25,7518.62,300.74,2,372,6.72,0.84
C0512,39.0,43,29,5137.71,177.16,10,203,14.29,2.2
C0513,47.0,5,5,590.76,118.15,117,62,8.06,14.08
C0514,55.0,30,37,3691.77,99.78,16,376,9.84,4.88
C0515,23.0,28,3,274.64,91.55,198,29,10.34,11.31
C0516,43.0,13,3,445.29,148.43,257,32,9.38,16.68
C0517,72.0,13,5,1115.26,223.05,96,64,7.81,11.66
C0518,40.0,9,15,2561.66,170.78,85,76,19.74,7.67
C0519,18.0,8,6,1033.79,172.3,125,64,,14.21
C0520,68.0,15,13,1638.27,126.02,84,187,6.95,8.87
C0521,69.0,14,36,5678.87,157.75,16,234,15.38,3.99
C0522,39.0,10,3,530.28,176.76,76,34,8.82,10.01
C0523,24.0,6,14,1082.02,77.29,87,193,7.25,5.07
C0524,56.0,17,12,2731.23,227.6,37,69,17.39,5.83
C0525,35.0,14,13,1817.58,139.81,38,164,7.93,8.65
C0526,61.0,15,29,5462.59,188.37,5,289,10.03,1.15
C0527,30.0,20,1,258.89,258.89,313,6,16.67,19.52
C0528,27.0,19,13,1617.27,124.41,70,172,7.56,5.49
C0529,45.0,3,7,825.2,117.89,89,63,11.11,11.8
C0530,27.0,21,2,448.02,224.01,331,27,7.41,11.21
C0531,29.0,21,3,265.25,88.42,352,39,7.69,22.29
C0532,52.0,26,2,327.89,163.94,261,20,10.0,20.16
C0533,23.0,26,19,6192.63,325.93,6,179,10.61,3.8
C0534,,30,3,384.03,128.01,208,16,18.75,15.8
C0535,47.0,31,4,191.91,47.98,273,26,15.38,17.36
C0536,23.0,14,4,480.88,120.22,125,55,7.27,5.67
C0537,57.0,24,3,382.07,127.36,299,16,18.75,18.68
C0538,41.0,20,3,364.19,121.4,183,32,9.38,18.29
C0539,28.0,29,4,185.66,46.41,224,34,11.76,14.92
C0540,18.0,45,32,6725.32,210.17,20,262,12.21,4.22
C0541,42.0,33,3,77.64,25.88,239,26,11.54,16.26
C0542,26.0,46,33,3451.68,104.6,19,293,11.26,1.23
C0543,52.0,13,7,343.0,49.0,137,100,7.0,7.53
C0544,53.0,7,4,837.09,209.27,76,27,14.81,11.53
C0545,18.0,16,4,410.76,102.69,198,43,9.3,17.74
C0546,42.0,21,18,4603.21,255.73,3,150,12.0,0.26
C0547,56.0,21,9,1610.37,178.93,45,96,9.38,9.08
C0548,48.0,32,2,95.62,47.81,294,11,18.18,17.23
C0549,62.0,30,29,6684.11,230.49,15,270,10.74,3.73
C0550,31.0,11,9,1604.73,178.3,80,131,6.87,9.64
C0551,21.0,23,15,2812.45,187.5,76,181,8.29,9.23
C0552,61.0,40,21,6652.75,316.8,10,271,7.75,0.7
C0553,68.0,34,30,7034.56,234.49,4,280,10.71,0.87
C0554,47.0,12,35,4915.69,140.45,26,298,11.74,2.11
C0555,58.0,8,8,1900.13,237.52,67,109,7.34,5.7
C0556,54.0,25,3,497.2,165.73,217,19,15.79,14.81
C0557,47.0,8,14,2652.05,189.43,23,179,7.82,7.18
C0558,57.0,26,1,55.81,55.81,208,6,16.67,14.21
C0559,52.0,10,4,735.37,183.84,138,56,7.14,7.71
C0560,43.0,26,36,3156.57,87.68,18,518,6.95,3.88
C0561,44.0,32,2,79.62,39.81,199,26,7.69,18.74
C0562,40.0,39,20,7894.46,394.72,19,226,8.85,4.46
C0563,18.0,13,3,216.06,72.02,102,15,20.0,13.39
C0564,47.0,8,16,3054.52,190.91,31,186,8.6,5.43
C0565,37.0,21,16,3332.78,208.3,64,182,8.79,4.21
C0566,49.0,10,3,437.14,145.71,167,42,7.14,8.79
C0567,62.0,14,6,314.8,52.47,86,30,20.0,5.56
C0568,42.0,13,6,318.71,53.12,168,43,13.95,10.85
C0569,60.0,8,16,2198.39,137.4,52,157,10.19,9.46
C0570,46.0,9,10,3104.93,310.49,89,149,6.71,9.14
C0571,38.0,20,15,2958.0,197.2,64,120,12.5,5.79
C0572,24.0,28,39,4332.49,111.09,27,429,9.09,2.99
C0573,35.0,4,7,322.01,46.0,173,86,8.14,5.45
C0574,60.0,20,2,283.13,141.57,197,18,11.11,14.25
C0575,58.0,3,4,1191.77,297.94,76,32,12.5,13.62
C0576,44.0,7,2,302.57,151.28,68,26,7.69,5.78
C0577,51.0,34,25,5108.52,204.34,26,167,14.97,2.63
C0578,19.0,33,31,5423.89,174.96,17,322,9.63,1.34
C0579,46.0,15,3,938.87,312.96,119,40,7.5,11.17
C0580,47.0,34,1,437.93,437.93,245,14,7.14,10.0
C0581,43.0,6,7,381.78,54.54,118,98,7.14,5.29
C0582,23.0,13,8,2843.91,355.49,80,109,7.34,3.23
C0583,26.0,9,3,904.55,301.52,100,30,10.0,7.04
C0584,54.0,16,9,1791.9,199.1,22,125,7.2,5.54
C0585,48.0,39,38,7093.4,186.67,16,479,7.93,0.53
C0586,25.0,38,22,3749.59,170.44,15,279,7.89,2.04
C0587,53.0,14,3,349.93,116.64,194,15,20.0,19.38
C0588,21.0,13,16,7553.12,472.07,5,121,13.22,1.71
C0589,18.0,12,3,421.67,140.56,210,17,17.65,22.12
C0590,18.0,14,17,6983.99,410.82,12,241,7.05,0.16
C0591,42.0,8,15,1211.98,80.8,62,195,7.69,7.61
C0592,43.0,8,15,2153.89,143.59,35,186,8.06,8.68
C0593,51.0,15,15,22245.57909158818,1483.0386061058787,56,81,18.52,3.81
C0594,35.0,40,15,3514.58,234.31,13,201,7.46,0.55
C0595,52.0,42,20,3946.11,197.31,5,274,7.3,4.4
C0596,76.0,6,15,2810.71,187.38,70,111,13.51,3.73
C0597,55.0,15,10,1237.63,123.76,46,83,12.05,8.85
C0598,55.0,9,14,2737.86,195.56,86,132,10.61,6.1
C0599,18.0,10,14,2679.11,191.36,23,201,6.97,9.7
C0600,18.0,21,1,241.92,241.92,275,6,16.67,22.47
C0601,56.0,37,35,4896.53,139.9,21,455,7.69,1.68
C0602,49.0,15,8,2690.27,336.28,44,48,16.67,5.09
C0603,57.0,9,5,240.14,48.03,156,34,14.71,
C0604,44.0,17,6,960.16,160.03,175,74,8.11,10.47
C0605,44.0,19,3,18894.346800776733,6298.115600258911,200,22,13.64,20.24
C0606,18.0,16,16,2077.22,129.83,39,231,6.93,7.12
C0607,42.0,12,4,331.24,82.81,310,22,18.18,12.53
C0608,46.0,3,4,545.81,136.45,145,37,10.81,13.2
C0609,58.0,28,4,469.62,117.41,354,53,7.55,11.58
C0610,55.0,12,3,788.35,262.78,136,15,20.0,10.66
C0611,58.0,20,10,3494.55,349.46,27,58,17.24,9.96
C0612,53.0,28,2,423.22,211.61,310,28,7.14,15.27
C0613,62.0,9,5,966.52,193.3,117,62,8.06,12.82
C0614,39.0,14,9,1144.45,127.16,75,83,10.84,5.08
C0615,35.0,28,4,289.11,72.28,333,37,10.81,24.36
C0616,18.0,8,16,3432.7,214.54,26,81,19.75,4.43
C0617,48.0,15,2,403.67,201.83,157,27,7.41,9.12
C0618,75.0,46,19,3316.87,174.57,12,225,8.44,1.01
C0619,,11,15,2670.53,178.04,85,131,11.45,6.24
C0620,28.0,14,3,284.85,94.95,359,16,18.75,23.0
C0621,32.0,10,3,714.1,238.03,160,21,14.29,14.02
C0622,18.0,18,13,2353.52,181.04,56,134,9.7,6.35
C0623,56.0,10,12,3034.42,252.87,44,107,11.21,5.66
C0624,49.0,10,3,19522.15100101718,6507.383667005727,63,18,16.67,6.03
C0625,34.0,10,9,1204.31,133.81,89,83,,8.93
C0626,41.0,17,17,2297.58,135.15,84,216,7.87,5.18
C0627,51.0,18,1,392.0,392.0,309,14,7.14,20.21
C0628,42.0,23,8,3059.48,382.43,88,90,8.89,3.01
C0629,18.0,17,9,2289.2,254.36,54,96,9.38,8.5
C0630,22.0,9,5,873.09,174.62,63,27,18.52,6.06
C0631,54.0,13,13,2910.93,223.92,83,75,17.33,5.97
C0632,24.0,10,9,2222.24,246.92,70,111,8.11,8.48
C0633,28.0,21,14,1047.79,74.84,41,171,8.19,7.81
C0634,30.0,10,11,2761.7,251.06,27,65,16.92,9.79
C0635,59.0,34,3,296.17,98.72,325,20,15.0,13.31
C0636,58.0,22,3,488.96,162.99,362,34,8.82,13.51
C0637,45.0,6,4,633.58,158.4,94,23,17.39,13.9
C0638,18.0,8,9,2433.37,270.37,40,119,7.56,3.45
C0639,30.0,5,7,633.47,90.5,123,37,18.92,14.43
C0640,42.0,7,3,863.82,287.94,137,39,7.69,8.98
C0641,47.0,16,4,23268.67847173362,5817.169617933405,248,37,10.81,12.73
C0642,27.0,16,3,256.11,85.37,309,34,8.82,23.96
C0643,38.0,30,1,195.68,195.68,214,6,16.67,22.69
C0644,18.0,10,5,626.12,125.22,102,36,13.89,13.06
C0645,18.0,32,3,222.25,74.08,301,30,10.0,12.18
C0646,36.0,14,6,1037.26,172.88,120,38,15.79,8.43
C0647,37.0,17,2,339.78,169.89,296,12,16.67,11.75
C0648,43.0,8,6,478.64,79.77,87,54,11.11,9.91
C0649,33.0,4,5,472.95,94.59,178,47,10.64,14.68
C0650,40.0,24,24,4889.25,203.72,21,150,16.0,2.25
C0651,52.0,12,15,2924.86,194.99,68,192,7.81,4.66
C0652,49.0,29,31,6293.92,203.03,22,458,6.77,3.19
C0653,18.0,7,2,1161.16,580.58,134,25,8.0,8.6
C0654,46.0,41,15,5712.7,380.85,27,114,13.16,1.84
C0655,27.0,14,2,665.01,332.5,154,12,16.67,12.76
C0656,44.0,35,18,4091.27,227.29,26,136,13.24,3.99
C0657,28.0,26,2,497.61,248.8,352,23,8.7,21.71
C0658,28.0,35,1,462.89,462.89,250,6,16.67,10.66
C0659,19.0,15,1,457.49,457.49,287,13,7.69,10.73
C0660,33.0,29,3,457.38,152.46,336,31,9.68,21.06
C0661,47.0,12,19,4725.41,248.71,10,111,17.12,0.89
C0662,21.0,16,2,904.08,452.04,72,17,11.76,12.69
C0663,58.0,14,13,2375.57,182.74,64,188,6.91,7.43
C0664,60.0,14,6,210.28,35.05,91,50,12.0,10.43
C0665,31.0,9,7,573.92,81.99,127,89,7.87,14.82
C0666,43.0,3,5,616.15,123.23,155,34,14.71,6.26
C0667,37.0,31,1,305.33,305.33,210,10,10.0,12.94
C0668,42.0,20,16,1129.93,70.62,51,229,6.99,5.09
C0669,18.0,14,14,2003.27,143.09,74,115,12.17,9.34
C0670,25.0,23,16,2871.61,179.48,76,161,9.94,3.0
C0671,18.0,32,3,314.6,104.87,292,17,17.65,17.55
C0672,18.0,18,12,1022.58,85.21,84,75,16.0,8.41
C0673,41.0,32,29,6091.93,210.07,12,316,9.18,2.57
C0674,53.0,6,5,926.84,185.37,139,55,9.09,14.94
C0675,,35,3,456.45,152.15,221,30,10.0,22.89
C0676,22.0,15,4,1087.12,271.78,128,41,9.76,8.07
C0677,18.0,14,3,542.65,180.88,147,17,17.65,6.55
C0678,51.0,25,18,7031.01,390.61,17,267,6.74,2.99
C0679,18.0,12,4,706.33,176.58,145,31,12.9,7.77
C0680,56.0,13,9,1986.84,220.76,27,111,8.11,7.56
C0681,66.0,4,4,1054.97,263.74,104,20,20.0,9.84
C0682,23.0,46,21,3426.74,163.18,13,191,10.99,0.97
C0683,44.0,40,38,7254.64,190.91,17,531,7.16,0.81
C0684,37.0,19,15,2083.12,138.87,83,76,19.74,6.19
C0685,26.0,30,36,7303.16,202.87,29,287,12.54,0.92
C0686,41.0,30,34,23680.98159867063,696.4994587844303,4,344,9.88,0.08
C0687,29.0,30,1,273.31,273.31,217,8,12.5,11.37
C0688,20.0,6,14,2088.96,149.21,20,146,9.59,3.84
C0689,18.0,11,3,1084.38,361.46,135,37,8.11,13.59
C0690,29.0,14,13,2333.47,179.5,31,161,8.07,3.27
C0691,52.0,13,17,3039.87,178.82,58,241,7.05,8.93
C0692,27.0,11,12,2318.16,193.18,87,140,8.57,5.72
C0693,25.0,23,3,473.4,157.8,180,44,6.82,14.85
C0694,49.0,7,9,1182.25,131.36,32,64,14.06,7.67
C0695,57.0,3,6,945.18,157.53,81,51,11.76,9.77
C0696,48.0,13,2,406.25,203.13,128,23,8.7,12.65
C0697,58.0,14,33,6220.0,188.48,28,488,6.76,4.0
C0698,27.0,41,37,7653.79,206.86,5,436,8.49,1.19
C0699,26.0,4,3,939.41,313.14,65,18,16.67,14.77
C0700,51.0,14,7,318.22,45.46,156,57,12.28,5.14
C0701,40.0,26,22,7202.2,327.37,11,134,16.42,2.25
C0702,37.0,19,4,430.27,107.57,241,20,20.0,16.69
C0703,45.0,11,6,16427.856366678847,2737.976061113141,94,67,8.96,13.24
C0704,44.0,30,31,3267.43,105.4,29,183,16.94,4.53
C0705,44.0,14,19,6648.03,349.9,8,201,9.45,1.37
C0706,47.0,41,39,6524.63,167.3,8,291,13.4,2.17
C0707,42.0,35,37,4342.37,117.36,3,391,9.46,0.85
C0708,29.0,14,3,496.79,165.6,177,15,20.0,5.84
C0709,41.0,17,17,3360.11,197.65,36,172,9.88,9.64
C0710,40.0,47,29,7660.14,264.14,29,195,14.87,3.94
C0711,26.0,8,15,2448.54,163.24,21,172,8.72,3.67
C0712,36.0,37,36,6650.2,184.73,3,308,11.69,1.24
C0713,19.0,19,17,2281.64,134.21,57,96,17.71,5.52
C0714,45.0,15,9,1888.46,209.83,32,92,9.78,6.77
C0715,22.0,26,3,238.28,79.43,337,25,12.0,24.08
C0716,21.0,13,9,1907.36,211.93,54,86,10.47,8.11
C0717,45.0,4,4,985.27,246.32,152,31,12.9,6.01
C0718,35.0,5,5,877.15,175.43,103,68,7.35,7.9
C0719,52.0,23,1,376.11,376.11,217,9,11.11,10.55
C0720,42.0,9,11,3491.74,317.43,36,79,13.92,4.63
C0721,29.0,14,13,1729.16,133.01,64,188,6.91,8.3
C0722,42.0,34,29,6487.1,223.69,9,178,16.29,0.96
C0723,55.0,14,2,941.6,470.8,118,21,9.52,6.41
C0724,41.0,16,14,1635.58,116.83,32,108,12.96,4.28
C0725,50.0,19,1,345.16,345.16,282,10,10.0,18.3
C0726,63.0,16,3,262.53,87.51,120,21,14.29,9.25
C0727,18.0,15,19,7668.46,403.6,21,124,15.32,0.51
C0728,49.0,6,2,668.33,334.17,167,11,18.18,10.01
C0729,28.0,7,10,2372.83,237.28,33,144,6.94,8.66
C0730,36.0,13,25,7330.88,293.24,4,287,8.71,0.71
C0731,37.0,33,3,99.44,33.15,192,35,8.57,15.14
C0732,26.0,12,3,1148.5,382.83,82,21,14.29,7.91
C0733,65.0,36,35,7068.98,201.97,28,221,15.84,1.35
C0734,48.0,11,14,2675.96,191.14,80,74,18.92,7.95
C0735,,28,15,3090.38,206.03,14,186,8.06,1.63
C0736,44.0,11,7,19852.667423426217,2836.0953462037455,68,91,7.69,5.05
C0737,47.0,17,8,2145.59,268.2,78,101,7.92,9.72
C0738,46.0,11,6,918.45,153.08,65,87,6.9,6.18
C0739,46.0,10,17,1925.13,113.24,52,171,9.94,6.68
C0740,44.0,35,18,5296.73,294.26,17,136,13.24,2.46
C0741,52.0,19,13,2676.83,205.91,42,115,11.3,4.18
C0742,21.0,17,3,370.71,123.57,144,16,18.75,12.63
C0743,23.0,14,11,1161.23,105.57,27,91,12.09,9.14
C0744,45.0,15,17,1530.11,90.01,29,146,11.64,4.22
C0745,35.0,35,23,6116.49,265.93,2,200,11.5,0.48
C0746,45.0,6,8,20626.554229027424,2578.319278628428,87,47,17.02,5.93
C0747,31.0,17,2,644.12,322.06,95,23,8.7,9.13
C0748,18.0,6,12,1014.16,84.51,27,139,8.63,8.38
C0749,32.0,22,12,1497.14,124.76,64,104,11.54,3.3
C0750,39.0,27,32,7695.34,240.48,3,163,19.63,0.35
C0751,27.0,28,2,454.26,227.13,261,28,7.14,20.91
C0752,44.0,13,2,1031.52,515.76,170,16,12.5,9.99
C0753,,17,2,460.24,230.12,97,20,10.0,6.12
C0754,24.0,27,4,482.95,120.74,340,30,13.33,20.61
C0755,37.0,15,2,943.08,471.54,138,22,9.09,5.67
C0756,31.0,23,17,3023.82,177.87,38,161,10.56,7.37
C0757,49.0,11,7,751.16,107.31,111,104,6.73,14.28
C0758,39.0,4,4,789.95,197.49,160,50,8.0,9.66
C0759,30.0,32,3,82.02,27.34,266,44,6.82,17.81
C0760,39.0,46,32,7950.74,248.46,15,399,8.02,4.84
C0761,46.0,33,4,296.86,74.22,256,42,9.52,19.28
C0762,47.0,13,5,213.75,42.75,122,25,20.0,8.56
C0763,18.0,30,3,161.33,53.78,274,33,9.09,18.12
C0764,29.0,11,3,958.5,319.5,158,33,9.09,11.71
C0765,58.0,40,26,3503.89,134.77,2,290,8.97,0.19
C0766,55.0,17,4,837.69,209.42,101,28,14.29,12.01
C0767,30.0,10,5,950.27,190.05,113,52,9.62,7.65
C0768,18.0,13,1,279.0,279.0,258,11,9.09,21.6
C0769,29.0,15,13,2405.74,185.06,55,147,8.84,9.73
C0770,43.0,35,22,5670.45,257.75,5,169,13.02,3.46
C0771,41.0,23,17,2046.98,120.41,33,251,6.77,8.12
C0772,48.0,4,7,283.92,40.56,164,58,12.07,11.85
C0773,52.0,25,39,6233.32,159.83,27,563,6.93,4.94
C0774,44.0,13,8,3388.34,423.54,36,115,6.96,7.61
C0775,33.0,46,37,5229.51,141.34,14,534,6.93,2.34
C0776,46.0,20,9,1833.52,203.72,54,131,6.87,4.47
C0777,18.0,16,12,2616.15,218.01,26,141,8.51,9.15
C0778,51.0,14,6,365.28,60.88,163,61,9.84,13.63
C0779,56.0,22,11,1281.45,116.5,57,62,17.74,3.84
C0780,43.0,35,1,154.22,154.22,236,9,11.11,10.09
C0781,35.0,9,8,2950.53,368.82,89,58,13.79,3.4
C0782,37.0,33,2,379.57,189.79,300,26,7.69,24.63
C0783,20.0,45,23,3571.34,155.28,20,326,7.06,2.69
C0784,22.0,33,1,162.9,162.9,202,10,10.0,14.77
C0785,41.0,18,37,5656.33,152.87,2,198,18.69,3.74
C0786,18.0,21,11,3487.14,317.01,48,160,6.88,5.02
C0787,35.0,28,32,7260.91,226.9,22,188,17.02,4.84
C0788,18.0,3,5,821.29,164.26,156,68,7.35,9.31
C0789,45.0,11,16,3057.4,191.09,45,197,8.12,3.56
C0790,32.0,15,10,2557.42,255.74,59,73,13.7,8.85
C0791,20.0,4,4,630.37,157.59,79,44,9.09,10.99
C0792,55.0,21,37,3715.64,100.42,4,467,7.92,2.85
C0793,34.0,4,2,252.39,126.2,158,13,15.38,11.02
C0794,44.0,17,21,7534.14,358.77,1,194,10.82,1.14
C0795,60.0,22,4,334.76,83.69,342,25,16.0,15.94
C0796,52.0,38,20,6540.91,327.05,19,211,9.48,3.89
C0797,18.0,47,25,3439.44,137.58,24,145,17.24,4.48
C0798,20.0,19,13,2065.21,158.86,82,117,11.11,8.54
C0799,28.0,9,14,3235.24,231.09,45,128,10.94,9.25
C0800,39.0,47,26,4166.08,160.23,13,306,8.5,2.97
